overall_rank,player,role,innings,runs_scored,strike_rate,batting_avg,consistency_score,recent_sr,BPI,matches,wickets,economy,dot_pct,recent_economy,BoPI,PVS,auction_price,value_ratio,valuation
49,RA Jadeja,Allrounder,200.0,3392.0,130.21,27.14,126.57,139.85,60.64,232.0,176.0,7.51,33.0,7.76,67.9,69.27,16.0,4.33,Overvalued ⚠️
50,SV Samson,Batter,179.0,5008.0,140.6,31.9,108.0,150.06,69.24,,,,,,,69.24,,,
51,DA Warner,Batter,184.0,6567.0,139.66,40.04,123.18,132.3,69.18,,,,,,,69.18,,,
52,JJ Roy,Batter,21.0,614.0,138.6,34.11,121.47,,69.15,,,,,,,69.15,,,
53,RD Gaikwad,Batter,78.0,2680.0,136.25,39.41,114.16,144.85,69.14,,,,,,,69.14,,,
54,JR Hazlewood,Bowler,,,,,,,,44.0,65.0,8.05,45.22,8.51,69.11,69.11,,,
55,DP Nannes,Bowler,,,,,,,,29.0,28.0,6.8,47.37,,68.94,68.94,,,
56,S Dube,Batter,83.0,2009.0,143.4,30.44,126.98,150.51,68.9,,,,,,,68.9,,,
57,JM Bairstow,Batter,52.0,1674.0,146.07,33.48,116.64,158.92,68.62,,,,,,,68.62,,,
58,A Raghuvanshi,Batter,26.0,672.0,143.59,29.22,150.44,144.69,68.58,,,,,,,68.58,,,
59,M Muralitharan,Bowler,,,,,,,,66.0,64.0,6.44,42.08,,68.51,68.51,,,
60,KK Ahmed,Bowler,,,,,,,,76.0,91.0,8.6,43.51,8.98,68.39,68.39,,,
61,DP Conway,Batter,28.0,1080.0,139.72,43.2,119.89,138.0,68.37,,,,,,,68.37,,,
62,SR Watson,Allrounder,141.0,3880.0,137.93,31.04,102.6,,65.84,105.0,92.0,7.58,41.89,,60.54,68.19,,,
63,SO Hetmyer,Batter,84.0,1560.0,149.71,26.9,114.9,151.38,68.18,,,,,,,68.18,,,
64,Abishek Porel,Batter,30.0,691.0,145.78,23.83,123.81,149.89,67.97,,,,,,,67.97,,,
65,MF Maharoof,Bowler,,,,,,,,20.0,27.0,7.03,42.14,,67.89,67.89,,,
66,KD Karthik,Batter,233.0,4843.0,135.28,25.9,110.9,167.63,67.83,,,,,,,67.83,,,
