overall_rank,player,role,innings,runs_scored,strike_rate,batting_avg,consistency_score,recent_sr,BPI,matches,wickets,economy,dot_pct,recent_economy,BoPI,PVS,auction_price,value_ratio,valuation
225,A Nortje,Bowler,,,,,,,,49.0,61.0,8.63,40.45,10.19,54.53,54.53,,,
226,M Kartik,Bowler,,,,,,,,55.0,31.0,6.98,35.25,,54.46,54.46,,,
227,PJ Sangwan,Bowler,,,,,,,,42.0,38.0,8.23,39.49,,54.4,54.4,,,
228,Mohammed Shami,Allrounder,33.0,115.0,104.55,6.39,76.72,,32.4,127.0,140.0,8.24,42.32,8.73,66.2,54.3,,,
229,JD Unadkat,Allrounder,28.0,201.0,118.93,14.36,97.68,,44.88,115.0,114.0,8.75,33.35,8.92,53.29,54.09,,,
230,S Badrinath,Batter,65.0,1441.0,118.89,30.02,105.09,,54.03,,,,,,,54.03,,,
231,M Ashwin,Bowler,,,,,,,,44.0,35.0,7.79,34.25,,53.91,53.91,,,
232,S Gopal,Allrounder,22.0,180.0,106.51,13.85,102.38,,41.1,51.0,52.0,8.09,32.9,,56.67,53.89,,,
233,Anuj Rawat,Batter,21.0,318.0,119.1,22.71,89.12,127.7,53.88,,,,,,,53.88,,,
234,SL Malinga,Allrounder,20.0,88.0,88.89,7.33,85.87,,26.45,122.0,170.0,6.74,43.05,,71.07,53.76,,,
235,AJ Tye,Bowler,,,,,,,,30.0,42.0,8.32,32.75,,53.59,53.59,,,
236,LH Ferguson,Bowler,,,,,,,,50.0,54.0,8.63,38.95,9.79,53.51,53.51,,,
237,VR Aaron,Bowler,,,,,,,,50.0,44.0,8.41,41.75,,53.49,53.49,,,
238,RS Bopara,Batter,22.0,531.0,117.22,27.95,101.5,,53.45,,,,,,,53.45,,,
239,RD Chahar,Allrounder,22.0,129.0,104.03,8.06,79.01,,34.95,79.0,75.0,7.62,35.18,8.12,61.88,53.42,,,
240,Suyash Sharma,Bowler,,,,,,,,34.0,24.0,8.39,34.45,8.58,53.37,53.37,,,
241,P Kumar,Allrounder,57.0,340.0,108.28,10.0,86.45,,36.72,119.0,90.0,7.38,45.44,,59.94,53.33,,,
242,C Sakariya,Bowler,,,,,,,,20.0,20.0,8.0,34.68,,52.94,52.94,,,
243,SB Jakati,Bowler,,,,,,,,57.0,47.0,7.86,32.72,,52.87,52.87,,,
244,PV Tambe,Bowler,,,,,,,,33.0,28.0,7.58,32.58,,52.75,52.75,,,
245,PA Patel,Batter,136.0,2848.0,120.78,22.43,117.17,,52.71,,,,,,,52.71,,,
246,MS Gony,Bowler,,,,,,,,44.0,37.0,8.43,41.22,,52.67,52.67,,,
247,Y Venugopal Rao,Batter,52.0,985.0,117.82,23.45,116.18,,52.61,20.0,6.0,9.14,27.78,,31.42,52.61,,,
248,Kuldeep Yadav,Allrounder,41.0,210.0,83.0,14.0,78.15,91.43,26.14,103.0,109.0,8.05,30.97,7.59,69.05,52.59,2.0,26.3,Budget Pick 🔵
249,MK Tiwary,Batter,83.0,1695.0,116.98,28.25,113.8,,52.56,,,,,,,52.56,,,
250,R Vinay Kumar,Allrounder,42.0,310.0,113.14,11.92,101.22,,40.49,104.0,105.0,8.17,37.66,,54.34,52.42,,,
251,Mukesh Kumar,Bowler,,,,,,,,39.0,42.0,10.05,34.61,9.96,52.24,52.24,,,
252,HH Gibbs,Batter,36.0,886.0,109.79,27.69,120.05,,52.22,,,,,,,52.22,,,
253,Mujeeb Ur Rahman,Bowler,,,,,,,,20.0,20.0,7.9,34.98,,52.16,52.16,,,
254,Gurkeerat Singh,Batter,32.0,511.0,121.09,18.93,107.11,,52.01,,,,,,,52.01,,,
255,M Jansen,Allrounder,22.0,151.0,107.86,11.62,75.78,110.92,35.37,42.0,41.0,8.77,39.13,9.07,58.53,51.95,,,
256,Mandeep Singh,Batter,97.0,1706.0,122.91,20.31,101.76,,51.77,,,,,,,51.77,,,
257,S Kaul,Bowler,,,,,,,,55.0,58.0,8.45,33.91,,51.6,51.6,,,
258,DB Das,Batter,22.0,304.0,116.48,25.33,132.23,,51.6,,,,,,,51.6,,,
259,A Zampa,Bowler,,,,,,,,22.0,31.0,8.21,30.62,,51.58,51.58,,,
260,SC Ganguly,Batter,56.0,1349.0,106.81,24.98,103.75,,51.42,20.0,10.0,7.78,29.71,,42.65,51.42,,,
261,TG Southee,Bowler,,,,,,,,54.0,47.0,8.35,39.39,,51.41,51.41,,,
262,AS Rajpoot,Bowler,,,,,,,,29.0,24.0,8.63,40.26,,51.23,51.23,,,
263,AP Tare,Batter,27.0,339.0,124.18,14.12,95.99,,51.21,,,,,,,51.21,,,
264,KM Jadhav,Batter,81.0,1208.0,123.14,22.37,101.23,,50.93,,,,,,,50.93,,,
265,A Mishra,Allrounder,55.0,381.0,90.93,12.7,91.58,,30.09,162.0,174.0,7.2,36.19,,61.17,50.63,,,
266,SK Warne,Allrounder,27.0,198.0,92.52,10.42,83.32,,29.17,54.0,57.0,7.08,37.02,,62.01,50.59,,,
267,DJG Sammy,Batter,20.0,295.0,122.41,19.67,106.1,,50.4,,,,,,,50.4,,,
268,AS Joseph,Bowler,,,,,,,,22.0,21.0,9.24,39.63,9.71,50.38,50.38,,,
269,GC Smith,Batter,29.0,739.0,110.63,24.63,98.69,,50.38,,,,,,,50.38,,,
270,R Sathish,Batter,24.0,270.0,116.88,16.88,133.53,,50.05,,,,,,,50.05,,,
271,MM Sharma,Allrounder,30.0,125.0,91.91,7.35,76.6,,26.86,119.0,134.0,8.55,34.79,9.29,63.18,50.02,,,
272,DS Kulkarni,Allrounder,20.0,104.0,96.3,11.56,85.72,,30.38,92.0,86.0,7.9,42.81,,59.36,49.87,,,
273,Yash Thakur,Bowler,,,,,,,,21.0,25.0,9.97,33.63,9.97,49.52,49.52,,,
274,AM Nayar,Batter,50.0,672.0,116.46,17.23,109.65,,49.49,,,,,,,49.49,,,
275,MA Starc,Allrounder,21.0,111.0,93.28,11.1,74.37,71.43,22.97,50.0,65.0,8.09,42.48,9.67,65.9,49.44,,,
276,A Manohar,Batter,20.0,292.0,124.26,15.37,93.42,115.0,48.94,,,,,,,48.94,,,
277,MS Bisla,Batter,39.0,798.0,113.68,21.57,89.13,,48.9,,,,,,,48.9,,,
278,TL Suman,Batter,39.0,676.0,117.57,22.53,104.94,,48.85,,,,,,,48.85,,,
279,Shahbaz Ahmed,Allrounder,39.0,560.0,120.69,18.67,104.86,124.88,49.58,46.0,22.0,9.41,26.94,10.58,38.0,48.79,,,
280,Sandeep Sharma,Allrounder,26.0,60.0,80.0,12.0,83.81,,21.54,141.0,151.0,7.84,39.43,8.57,65.45,48.5,,,
281,UT Yadav,Allrounder,48.0,208.0,103.48,10.4,75.44,,33.59,147.0,144.0,8.15,41.26,9.85,52.81,48.2,,,
282,NV Ojha,Batter,94.0,1554.0,118.35,21.0,91.48,,48.14,,,,,,,48.14,,,
283,B Chipli,Batter,21.0,280.0,111.55,17.5,87.59,,47.95,,,,,,,47.95,,,
284,DB Ravi Teja,Batter,25.0,375.0,118.3,18.75,100.65,,47.84,,,,,,,47.84,,,
285,DJ Hooda,Batter,101.0,1497.0,127.62,18.48,95.88,110.17,47.82,34.0,10.0,8.42,27.97,,35.23,47.82,,,
286,Z Khan,Allrounder,27.0,117.0,82.98,7.8,67.68,,22.78,99.0,102.0,7.34,42.23,,62.83,47.8,,,
287,AB Agarkar,Bowler,,,,,,,,42.0,29.0,8.49,34.91,,47.66,47.66,,,
288,I Sharma,Allrounder,21.0,57.0,82.61,8.14,92.48,,23.67,117.0,96.0,7.9,44.23,8.94,61.57,47.62,,,
289,Y Nagar,Batter,20.0,285.0,110.04,19.0,123.84,,47.18,,,,,,,47.18,,,
290,AL Menaria,Batter,23.0,401.0,112.64,18.23,131.77,,46.87,,,,,,,46.87,,,
291,M Manhas,Batter,38.0,514.0,109.36,21.42,111.66,,45.36,,,,,,,45.36,,,
292,LR Shukla,Batter,33.0,405.0,115.71,13.97,100.9,,45.0,27.0,15.0,8.16,37.26,,55.31,45.0,,,
293,Kartik Tyagi,Bowler,,,,,,,,27.0,24.0,9.36,37.16,,44.62,44.62,,,
294,RP Singh,Allrounder,28.0,52.0,68.42,3.47,86.16,,13.82,82.0,90.0,7.5,44.51,,64.15,43.98,,,
295,CJ Jordan,Bowler,,,,,,,,34.0,30.0,9.14,33.38,,43.78,43.78,,,
296,UBT Chand,Batter,20.0,300.0,100.0,15.0,97.3,,43.12,,,,,,,43.12,,,
297,Vijaykumar Vyshak,Bowler,,,,,,,,22.0,23.0,9.99,29.14,9.77,42.96,42.96,,,
298,CA Pujara,Batter,22.0,390.0,99.74,21.67,124.58,,42.92,,,,,,,42.92,,,
299,M Kaif,Batter,22.0,259.0,103.6,16.19,131.63,,42.85,,,,,,,42.85,,,
300,S Sohal,Batter,20.0,368.0,126.03,20.44,92.9,,41.49,,,,,,,41.49,,,
301,Lalit Yadav,Batter,21.0,305.0,105.17,20.33,104.26,,41.38,,,,,,,41.38,,,
302,Basil Thampi,Bowler,,,,,,,,25.0,22.0,9.54,31.29,,39.04,39.04,,,
303,SP Goswami,Batter,21.0,293.0,99.32,14.65,93.19,,36.44,,,,,,,36.44,,,
304,S Nadeem,Allrounder,20.0,39.0,44.83,2.44,96.9,,3.58,70.0,48.0,7.39,33.14,,53.18,33.38,,,
305,VVS Laxman,Batter,20.0,282.0,105.62,17.62,86.56,,32.32,,,,,,,32.32,,,
306,GH Vihari,Batter,23.0,284.0,88.47,14.2,88.35,,30.05,,,,,,,30.05,,,
