player,potm_awards,role,PVS,BPI,BoPI
Mandeep Singh,3,Batter,51.77,51.77,
M Vohra,3,Batter,64.39,64.39,
KM Jadhav,2,Batter,50.93,50.93,
AJ Tye,2,Bowler,53.59,,53.59
MJ McClenaghan,2,Bowler,60.59,,60.59
HM Amla,2,,,,
KV Sharma,2,Allrounder,54.64,45.37,53.91
JJ Roy,2,Batter,69.15,69.15,
JC Archer,2,Allrounder,64.64,55.74,63.55
AS Rajpoot,2,Bowler,51.23,,51.23
S Gopal,2,Allrounder,53.89,41.1,56.67
DL Chahar,2,Bowler,67.07,,67.07
KK Ahmed,2,Bowler,68.39,,68.39
VR Aaron,2,Bowler,53.49,,53.49
S Nadeem,2,Allrounder,33.38,3.58,53.18
Shivam Mavi,2,Bowler,55.09,,55.09
R Tewatia,2,Allrounder,63.64,63.44,53.84
PJ Cummins,2,Allrounder,67.45,62.22,62.69
MM Ali,2,Allrounder,67.31,59.84,64.79
D Padikkal,2,Batter,58.66,58.66,
EJG Morgan,2,Batter,54.82,54.82,
PWH de Silva,2,Bowler,59.75,,59.75
S Dube,2,Batter,68.9,68.9,
Umran Malik,2,Bowler,55.27,,55.27
R Parag,2,Batter,63.06,63.06,32.72
Arshdeep Singh,2,Bowler,70.47,,70.47
M Pathirana,2,,,,
Akash Madhwal,2,,,,
Mustafizur Rahman,2,Bowler,60.7,,60.7
MP Yadav,2,,,,
R Shepherd,2,,,,
Nithish Kumar Reddy,2,Batter,65.24,65.24,31.13
V Suryavanshi,2,,,,
MV Boucher,2,Batter,56.81,56.81,
DJ Hussey,2,Batter,58.19,58.19,33.09
ST Jayasuriya,2,,,,
IK Pathan,2,Allrounder,61.07,52.02,60.12
SM Pollock,2,,,,
Sohail Tanvir,2,,,,
GC Smith,2,Batter,50.38,50.38,
M Ntini,2,,,,
JA Morkel,2,Allrounder,64.25,59.69,58.8
P Kumar,2,Allrounder,53.33,36.72,59.94
R Dravid,2,Batter,58.02,58.02,
M Muralitharan,2,Bowler,68.51,,68.51
B Lee,2,Bowler,60.65,,60.65
Harmeet Singh,2,Bowler,61.33,,61.33
DE Bollinger,2,Bowler,73.04,,73.04
SK Trivedi,2,Bowler,58.72,,58.72
PC Valthaty,2,Batter,56.68,56.68,
MM Patel,2,Bowler,65.24,,65.24
Iqbal Abdulla,2,Bowler,61.8,,61.8
R Sharma,2,Bowler,61.58,,61.58
M Morkel,2,Allrounder,64.18,53.69,64.67
Shakib Al Hasan,2,Allrounder,59.43,50.91,57.95
P Negi,2,Allrounder,57.45,50.51,54.39
Azhar Mahmood,2,Allrounder,60.91,51.2,60.61
BW Hilfenhaus,2,,,,
GH Vihari,2,Batter,30.05,30.05,
MG Johnson,2,Allrounder,54.64,37.76,61.52
PV Tambe,2,Bowler,52.75,,52.75
MC Henriques,2,Allrounder,60.02,57.12,52.93
AB Dinda,2,Bowler,58.39,,58.39
Washington Sundar,1,Allrounder,54.86,53.79,45.92
SW Billings,1,Batter,56.71,56.71,
B Stanlake,1,,,,
TG Southee,1,Bowler,51.41,,51.41
Mujeeb Ur Rahman,1,Bowler,52.16,,52.16
L Ngidi,1,Bowler,59.63,,59.63
AS Joseph,1,Bowler,50.38,,50.38
HF Gurney,1,,,,
Imran Tahir,1,Bowler,59.66,,59.66
KMA Paul,1,,,,
CJ Jordan,1,Bowler,43.78,,43.78
PK Garg,1,,,,
RD Chahar,1,Allrounder,53.42,34.95,61.88
KS Bharat,1,,,,
JO Holder,1,Allrounder,55.94,49.05,52.83
Kartik Tyagi,1,Bowler,44.62,,44.62
OF Smith,1,,,,
E Lewis,1,Batter,62.59,62.59,
LS Livingstone,1,Batter,71.79,71.79,47.28
Anuj Rawat,1,Batter,53.88,53.88,
Mukesh Choudhary,1,,,,
M Jansen,1,Allrounder,51.95,35.37,58.53
Mohsin Khan,1,Bowler,59.4,,59.4
DR Sams,1,,,,
MA Wood,1,,,,
NT Ellis,1,,,,
HC Brook,1,,,,
Sikandar Raza,1,,,,
A Manohar,1,Batter,48.94,48.94,
J Little,1,,,,
GD Phillips,1,,,,
PN Mankad,1,,,,
WD Parnell,1,Bowler,64.82,,64.82
RR Rossouw,1,Batter,73.01,73.01,
Shashank Singh,1,Batter,79.38,79.38,
Yash Thakur,1,Bowler,49.52,,49.52
R Sai Kishore,1,Bowler,57.38,,57.38
J Fraser-McGurk,1,,,,
Simarjeet Singh,1,,,,
Shahbaz Ahmed,1,Allrounder,48.79,49.58,38.0
Ashutosh Sharma,1,Batter,74.06,74.06,
